numdossier_new,lda_documents
T03323012553,"[['champ', 'application', 'bénéficiaires'], ['rémunération', 'temp', 'travail'], ['prime', 'partage', 'valeur'], ['prime', 'ba', 'salaires'], ['récupération', 'heures', 'fériés', 'fixation', 'jour', 'solidarité', '2023'], ['revalorisation', 'heures', 'supplémentaires'], ['prime', 'parrainage'], ['condition', 'travail'], ['utilisation', 'voitures', 'service']]"
T02719000708,"[['accord', 'relatif', 'aménagement', 'temp', 'travail', 'sein'], ['site', 'saint', 'marcel'], ['champ', 'application'], ['duree', 'travail'], ['heures', 'supplementaires'], ['définition'], ['paiement', 'heures', 'supplémentaires'], ['remuneration'], ['embauche', 'rupture', 'contrat', 'travail', 'cours', 'période', 'référence'], ['duree', 'accord', 'revision', 'denonciation'], ['publicite']]"
T06719002035,"[['champ', 'application'], ['object', 'accord'], ['depôt', 'publicite', 'accord']]"
T01422005631,"[['accord', 'collectif', 'entreprise', 'relatif', 'augmentation'], ['contingent', 'heures', 'supplementaires'], ['champ', 'application'], ['entree', 'vigueur', 'duree', 'accord'], ['contingent', 'annuel', 'heures', 'supplementaires'], ['fixation', 'contingent', 'heures', 'supplémentaires'], ['contreparties', 'heures', 'supplémentaires', 'effectuées', 'intérieur', 'contingent'], ['publicite', 'depot', 'accord']]"
T07118000137,"[['durée', 'travail'], ['aménagement', 'temp', 'travail'], ['heures', 'supplémentaires'], ['définition'], ['rémunération'], ['embauche', 'rupture', 'contrat', 'travail', 'cours', 'période', 'référence'], ['salariés', 'temp', 'partiel'], ['durée', 'accord', 'révision', 'dénonciation'], ['publicité']]"
T07620005275,"[['accord', 'entreprise'], ['relatif', 'organisation', 'duree', 'travail'], ['champ', 'application'], ['organisation', 'temp', 'travail'], ['modalités', 'organisation', 'travail', 'entreprise'], ['temp', 'déplacements', 'rendre', 'chantiers'], ['temp', 'pause'], ['gestion', 'temp', 'travail'], ['modalités', 'organisation', 'temp', 'travail'], ['heures', 'supplémentaires'], ['modalités', 'enregistrement', 'temp', 'travail'], ['jours', 'fractionnement'], ['disposition', 'finale'], ['modalités', 'conclusion', 'présent', 'accord'], ['dépôt', 'publicité', 'accord']]"
T00524060097,"[['accord', 'entreprise'], ['relatif', 'annualisation', 'temp', 'travail', 'conge', 'paye', 'repos', 'hebdomadaire', 'travail', 'nuit'], ['activité', 'connaît', 'fluctuation', 'activité', 'fonction', 'saisons', 'touristiques', 'dont', 'résulte', 'alternance', 'périodes', 'haute', 'basse', 'activité'], ['considérant', 'absence', 'représentant', 'personnel'], ['ordre', 'départs'], ['repos', 'hebdomadaire'], ['repos', 'hebdomadaire', 'travail', 'dimanche'], ['annualisation', 'temp', 'travail'], ['principe', 'variation', 'horaires', 'durée', 'travail'], ['durée', 'annuelle', 'travail', 'heures', 'supplémentaires'], ['programmation', 'prévisionnelle'], ['planning', 'individuels'], ['modification', 'durée', 'et/ou', 'horaires', 'travail'], ['modification', 'répartition', 'horaires', 'travail', 'salariés', 'temp', 'plein'], ['modification', 'répartition', 'horaires', 'travail', 'salariés', 'temp', 'partiel'], ['durée', 'maximale', 'travail', 'temp', 'repos'], ['maximales', 'travail'], ['minimales', 'repos'], ['disposition', 'particulières', 'applicables', 'salariés', 'temp', 'complet'], ['définition', 'heures', 'supplémentaires'], ['contreparties', 'heures', 'supplémentaires'], ['contingent', 'annuel', 'heures', 'supplémentaires'], ['acquisition', 'droits', 'congés', 'payés'], ['information', 'salariés', 'droits', 'acquis', 'titre', 'repos', 'compensateur', 'remplacement', 'et/ou', 'contrepartie', 'obligatoire', 'repos'], ['disposition', 'particulières', 'applicables', 'salariés', 'temp', 'partiel'], ['définition', 'heures', 'complémentaires'], ['rémunération', 'heures', 'complémentaires'], ['coupures', 'salariés', 'temp', 'partiel'], ['modalités', 'rémunération'], ['incidence', 'absence'], ['embauche', 'rupture', 'contrat', 'cours', 'période'], ['conge', 'paye'], ['période', 'acquisition', 'durée', 'congé'], ['prise', 'congé', 'principal'], ['ordre', 'départs', 'congé'], ['modification', 'ordre', 'date', 'départs'], ['travail', 'nuit'], ['justification', 'recours', 'travail', 'nuit'], ['définition', 'période', 'travail', 'nuit'], ['contreparties'], ['temp', 'pause'], ['mention', 'bulletin', 'salaire'], ['mesures', 'destinées', 'améliorer', 'condition', 'travail'], ['employeur', 'prend', 'toutes', 'mesures', 'nécessaires', 'visant', 'améliorer', 'condition', 'travail', 'salarié', 'travaillant', 'nuit', 'garantir', 'sécurité'], ['mesures', 'destinées', 'assurer', 'égalité', 'professionnelle', 'entre', 'hommes', 'femmes'], ['disposition', 'finale'], ['approbation', 'salariés'], ['clause', 'rendez-vous'], ['transmission', 'accord', 'commission', 'paritaire', 'permanente', 'négociation', 'interprétation', 'branche']]"
T06622002428,"[['accord', 'entreprise', 'stp', 'sabate'], ['champ', 'application'], ['entree', 'vigueur', 'duree', 'accord'], ['contigent', 'heures', 'supplementaires'], ['suivi', 'accord'], ['revision'], ['denonciation'], ['publicite']]"
T06723060431,"[['accord', 'entreprise', '17/10/2023'], ['champ', 'application', 'duree'], ['champ', 'application'], ['entree', 'vigueur-duree'], ['duree', 'travail', 'disposition', 'diverses'], ['duree', 'quotidienne', 'travail'], ['amplitude', 'repos', 'quotidien'], ['heures', 'supplementaires', 'contingent', 'annuel'], ['temp', 'partiel'], ['recours', 'temp', 'partiel'], ['heures', 'complémentaires'], ['egalité', 'droits'], ['interruption', 'activite', 'coupures'], ['suppression', 'jours', 'fractionnement'], ['communication', 'planning', 'condition', 'changement', 'applicable', 'tous', 'type', 'organisation', 'temp', 'travail'], ['notification', 'modification', 'planning'], ['cadre', 'modification', 'planning'], ['contrepartie', 'modification', 'planning'], ['annulation', 'intervention', 'client'], ['cadre', 'modification', 'planning', 'jardiniers'], ['annulation', 'intervention', 'client'], ['periode', 'reference', 'acquisition', 'prise', 'conge', 'paye'], ['période', 'acquisition', 'congés', 'payés'], ['période', 'prise', 'congés', 'payés'], ['mise', 'œuvre'], ['modalites', 'organisation', 'temp', 'travail'], ['annualisation', 'temp', 'travail', 'article', 'l.3121-44', 'suivants', 'code', 'travail'], ['objet'], ['salary', 'concernes'], ['remuneration'], ['absence'], ['périodes', 'non', 'travaillées', 'rémunérées'], ['périodes', 'non', 'travaillées', 'non', 'rémunérées'], ['compteur', 'individuel', 'suivi'], ['regularisation', 'ca', 'depart', 'salarie', 'cours', 'periode', 'reference'], ['incidence', 'absence', 'non', 'assimilees', 'temp', 'travail', 'effectif', 'calcul', 'heures', 'supplementaires', 'salary', 'temp', 'plein', 'heures', 'complementaires', 'salary', 'temp', 'partiel'], ['traitement', 'heures', 'supplémentaires'], ['traitement', 'heures', 'complémentaires'], ['incidence', 'autres', 'absence', 'non', 'assimilées', 'temp', 'travail', 'effectif', 'congés', 'sans', 'solde', 'absence', 'injustifiées'], ['disposition', 'propres', 'salary', 'temp', 'plein', 'annualise'], ['principe', 'annualisation'], ['amplitude', 'amenagement', 'temp', 'travail', 'annee'], ['heures', 'supplementaires'], ['regularisation', 'issue', 'periode', 'annualisation'], ['disposition', 'propres', 'salary', 'temp', 'partiel', 'annualise'], ['principe', 'annualisation'], ['amplitude', 'amenagement', 'temp', 'travail', 'annee'], ['heures', 'complementaires'], ['regularisation', 'issue', 'periode', 'annualisation'], ['publicite', 'depot', 'accord'], ['publicite', 'depot']]"
T00623008339,"[['accord', 'etablissement', 'relatif', 'aménagement', 'temp', 'travail', 'année', '2023'], ['art', 'organisation', 'travail', 'base', 'décompte', 'horaire'], ['horaires', 'travail'], ['horaires', 'personnel', 'maintenance'], ['horaires', 'personnel', 'réparation'], ['horaires', 'personnel', 'montage', 'installation', 'nouvelles', 'modernisation'], ['horaires', 'personnel', 'rattaché', 'direction', 'technique', 'nationale'], ['horaires', 'personnel', 'bureau'], ['horaires', 'bureau', 'sarrola', 'carcopino'], ['jours', 'repos'], ['heures', 'supplémentaires'], ['art', 'organisation', 'travail', 'base', 'convention', 'forfait', 'jours'], ['art', 'dépôt']]"
